Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-14.2833333333,114.2666666667,0,3,5
-14.3333333333,114.5833333333,0,5,2
-12.3833333333,115.8333333333,0,2,1
-12.95,115.2833333333,3,6,0
-13.9,115.5166666667,0,2,0
-14.2666666667,116.4833333333,1,7,0
-14.5333333333,116.6666666667,2,7,0
-14.6666666667,116.1333333333,0,4,13
-14.1,116.55,2,2,0
-13.5333333333,116.6,0,12,5
-13.1666666667,116.1166666667,1,5,2
-12.5666666667,115.9,0,4,5
-11.8333333333,115.4666666667,0,1,4
-11.55,114.5,0,3,0
-11.0833333333,116.8333333333,0,1,2
-12.4833333333,112.7,1,3,0
-12.0166666667,112.3333333333,0,2,3
-12.7333333333,112.2666666667,0,1,0
-14.4833333333,114.7833333333,0,7,10
-14.9166666667,114.7675,1,5,22
-12.5166666667,116.75,0,2,5
-12.3666666667,116.6666666667,0,6,4
-12.5166666667,116.75,2,0,3
-11.6833333333,116.3333333333,2,0,5
-12.6,116.8333333333,0,10,20
-12.4166666667,116.35,1,2,7
-12.4333333333,116.5,0,12,2
-12.8333333333,116.45,0,1,0
-11.7,115.8666666667,0,3,0
-12.2,115.5333333333,0,8,7
-12.1833333333,115.2333333333,2,5,3
-12.4666666667,115.9666666667,0,1,3
-12.8333333333,116.8333333333,0,13,0
-12.0666666667,116.8333333333,1,0,0
-12.7833333333,117.3,0,3,4
-13.0833333333,117.8166666667,0,12,1
-13.3166666667,117.7166666667,1,16,1
-13.45,118.1666666667,6,6,2
-13.2833333333,118.0166666667,0,1,3
-13.25,117.0833333333,8,2,0
-13.0333333333,117,6,12,0
-13.25,117.1,2,6,0
-12.9166666667,117,5,5,0
-13.1,117.1,3,3,0
-13.35,117,0,5,0
-12.6666666667,117.1333333333,1,10,0
-12.6,117.1,2,1,0
-12.8833333333,117.0341666667,0,3,0
-13.2,116.7833333333,1,19,0
-11.3166666667,117.2666666667,1,6,0
-11.0166666667,117.6166666667,1,4,1
-11.95,117.5666666667,1,2,8
-11.5666666667,118.5666666667,0,2,0
-12.1166666667,117.4666666667,0,0,0
-13.0166666667,117.4,3,4,12
-13.1333333333,116.8333333333,0,1,0
-12.4333333333,116.6,0,11,8
-12.5833333333,116.5,0,12,2
-11.9166666667,119.2833333333,0,2,1
-12.5,118.0166666667,0,5,2
-12.7,117.0833333333,1,9,20
-13,117.0333333333,0,15,9
-10.0833333333,126.4166666667,0,0,0
-10.05,124.8,11,2,0
-10.45,124.1833333333,1,0,0
-10.4,123.0333333333,0,4,0
-10.8333333333,123.6833333333,0,7,0
-10.75,124.0166666667,1,3,0
-11.0666666667,117.6666666667,14,13,34
-9.7833333333,115.0333333333,0,0,0
-6.2166666667,126.5833333333,3,2,0
-6.9833333333,126,2,0,0
-7.7833333333,123.7833333333,3,2,0
-6.1,121.6833333333,7,0,0
-7.2833333333,128.05,9,0,0
-7.0833333333,125.95,0,3,0
-8.5,124.75,2,0,0
-8.95,124.6,2,0,0
-10.4666666667,119.2,4,0,0
-8.9833333333,122.65,3,21,0
-9.8,121.9333333333,3,3,0
-8.9,122.5333333333,3,12,0
-10.7,118.3,2,0,0
-10.2833333333,118.6666666667,0,4,0
-9.1333333333,122.5333333333,0,16,0
-9,122.3666666667,3,12,0
-9.1333333333,122.5333333333,3,10,0
-8.9166666667,122.6666666667,4,18,0
-8.9666666667,123,6,19,0
-8.9,122.7,0,12,0
-8.9166666667,123.45,3,10,0
-8.8666666667,122.9666666667,5,37,0
-8.85,123.0166666667,2,13,0
-8.9166666667,123.0333333333,0,9,0
-9.1166666667,118.8333333333,10,10,0
-9.25,118.6166666667,4,5,0
-9.1833333333,118.1333333333,5,5,0
-9.95,123.2833333333,6,7,0
-8.9833333333,122.65,2,7,0
-9.25,122.8,0,14,0
-9.1666666667,122.8833333333,2,14,0
-9.0166666667,123.0833333333,0,16,0
-9,123,3,14,0
-8.7833333333,123.9833333333,0,24,0
-8.9666666667,123.1666666667,0,32,0
-8.9833333333,123.1166666667,0,16,0
-8.9166666667,123.45,3,10,0
-10.1833333333,117.8333333333,4,2,0
-10.6166666667,117.75,5,10,0
-10.8,118.3333333333,0,5,0
-10.9,119.15,3,5,0
-10.0666666667,115.1333333333,3,2,2
-9.5666666667,117.3166666667,0,0,0
-7.9166666667,122.75,6,0,0
-8.0166666667,124.35,0,3,0
-8.25,127.3666666667,5,0,0
-7.5166666667,128.5166666667,0,0,4
-7.85,128.4666666667,2,5,0
-8.5666666667,128.25,0,7,3
